iter	Accuracy	MultiClass
227	0.7624993751	0.6100320344
228	0.7625472585	0.6095813971
229	0.7626462447	0.609218804
230	0.7628320901	0.608835547
231	0.7629113514	0.6086127101
232	0.7629350517	0.6081043673
233	0.763280229	0.6077710615
234	0.7633525146	0.6070513686
235	0.7635373404	0.6068802151
236	0.763752909	0.6066294697
237	0.7638001931	0.6061348911
238	0.7641439667	0.6055445558
239	0.764239067	0.6049749077
240	0.7645965019	0.6043025604
241	0.7645788207	0.6041516451
242	0.7651487477	0.6036085729
243	0.7652178494	0.6030896472
244	0.7652419471	0.6027859032
245	0.7655969402	0.6025454881
246	0.7657980787	0.602411435
247	0.7659012818	0.601978518
248	0.7656741445	0.601732511
249	0.7657597871	0.6015534708
250	0.765903124	0.6011533714
251	0.765993672	0.6007723699
252	0.7662561272	0.6004490464
253	0.7663591022	0.5999004524
254	0.7667652651	0.5993398392
255	0.7666295924	0.5988090366
256	0.7671247159	0.5985026356
257	0.7672308748	0.5982312287
258	0.7672806946	0.5979540342
259	0.7676942717	0.5977387553
260	0.7679345377	0.5975104902
261	0.7680418236	0.597243977
262	0.768572077	0.5970551791
263	0.7684752688	0.5968658741
264	0.7685785254	0.5966423834
265	0.7688898294	0.5963874456
266	0.7689559619	0.5958368928
267	0.7690898276	0.5956875898
268	0.7694652607	0.5954822384
269	0.7694600064	0.5951791794
270	0.7699373413	0.5943613658
271	0.7700408488	0.5939335365
272	0.7706949961	0.593344292
273	0.7706441568	0.5930781775
274	0.7703249061	0.5926515803
275	0.7707935127	0.5923563976
276	0.7708645639	0.5917736176
277	0.771075281	0.591465634
278	0.7708268049	0.591171576
279	0.7711395847	0.5907989976
280	0.7712846608	0.5903526961
281	0.7715444236	0.5897318877
282	0.7722115257	0.5891192512
283	0.7725682713	0.5886028841
284	0.7725477014	0.5881436627
285	0.7728697109	0.5877271503
286	0.7730985563	0.5875086751
287	0.7736088345	0.5870401075
288	0.773566523	0.5866585776
289	0.7734659714	0.5863908028
290	0.7737269819	0.5860972236
291	0.77377144	0.5853319013
292	0.7740605958	0.5851165692
293	0.7742676905	0.5844959378
294	0.7743688232	0.5842561391
295	0.7743501357	0.5838671603
296	0.7744740833	0.5835253177
297	0.7744998539	0.5834184791
298	0.7745381588	0.5831543201
299	0.774540931	0.5829152361
