iter	Passed	Remaining
554	338199	271169
555	338782	270538
556	339420	269951
557	339995	269315
558	340591	268695
559	341159	268054
560	341764	267441
561	342357	266819
562	342933	266185
563	343528	265564
564	344106	264931
565	344695	264306
566	345279	263678
567	345872	263057
568	346449	262424
569	347028	261793
570	347620	261171
571	348211	260549
572	348789	259918
573	349371	259290
574	349961	258667
575	350556	258048
576	351137	257420
577	351726	256797
578	352309	256169
579	352897	255546
580	353489	254926
581	354062	254292
582	354645	253665
583	355209	253026
584	355844	252436
585	356599	251932
586	357182	251305
587	357764	250678
588	358389	250081
589	358989	249467
590	359567	248837
591	360144	248207
592	360732	247585
593	361307	246953
594	361903	246337
595	362489	245714
596	363082	245095
597	363672	244475
598	364278	243865
599	364867	243245
600	365441	242614
601	366024	241989
602	366607	241365
603	367194	240743
604	367783	240123
605	368354	239491
606	368929	238861
607	369520	238243
608	370088	237610
609	370678	236991
610	371261	236367
611	371867	235759
612	372463	235144
613	373033	234512
614	373636	233902
615	374245	233296
616	374850	232687
617	375449	232074
618	376030	231450
619	376718	230892
620	377490	230384
621	378064	229756
622	378674	229149
623	379258	228527
624	379851	227910
625	380419	227279
626	380997	226653
627	381596	226041
628	382159	225407
629	382755	224792
630	383322	224161
631	383909	223542
632	384494	222921
633	385076	222299
634	385660	221678
635	386246	221059
636	386847	220448
637	387429	219826
638	388008	219203
639	388593	218583
640	389187	217969
641	389782	217355
642	390363	216733
643	390959	216120
644	391536	215496
645	392109	214870
646	392709	214260
647	393310	213650
648	393911	213039
649	394488	212416
650	395065	211794
651	395637	211168
652	396274	210577
653	396874	209967
654	397453	209345
655	398044	208730
656	398642	208119
657	399239	207507
658	399834	206894
659	400447	206290
660	401039	205676
661	401633	205063
662	402207	204440
663	402809	203831
664	403383	203208
665	403973	202593
666	404562	201978
667	405144	201359
668	405719	200737
669	406296	200116
670	406900	199508
671	407499	198898
672	408093	198286
673	408667	197663
674	409230	197037
675	409817	196421
676	410394	195801
677	410988	195189
678	411556	194564
679	412133	193945
680	412720	193329
681	413293	192708
682	413879	192093
683	414453	191472
684	415039	190857
685	415662	190259
686	416234	189637
687	416978	189094
688	417635	188511
689	418260	187913
690	418869	187309
691	419465	186698
692	420067	186090
693	420680	185487
694	421282	184879
695	421855	184258
696	422427	183637
697	423008	183020
698	423569	182395
699	424147	181777
700	424734	181163
701	425304	180542
702	425889	179927
703	426459	179306
704	427051	178695
705	427624	178075
706	428206	177460
707	428816	176856
708	429401	176242
709	429973	175622
710	430541	175001
711	431116	174384
712	431696	173768
713	432289	173157
714	432875	172544
715	433444	171924
716	434042	171316
717	434660	170716
718	435258	170107
719	435851	169497
720	436445	168887
721	437044	168280
722	437627	167666
723	438220	167056
724	438999	166516
725	439628	165920
726	440223	165310
727	440820	164701
728	441397	164085
729	441984	163473
730	442553	162854
731	443139	162242
732	443717	161627
733	444312	161017
734	444889	160402
735	445463	159785
736	446047	159173
737	446629	158559
738	447228	157952
739	447798	157334
740	448371	156718
741	448965	156109
742	449544	155495
743	450135	154885
744	450705	154268
745	451287	153655
746	451874	153044
747	452454	152431
748	453044	151821
749	453669	151223
750	454261	150613
751	454830	149997
752	455417	149386
753	456008	148777
754	456586	148163
755	457202	147562
756	457783	146950
757	458371	146340
758	458951	145727
759	459543	145118
760	460141	144512
761	460733	143903
762	461318	143292
763	461906	142683
764	462477	142068
765	463074	141461
766	463676	140856
767	464262	140245
768	464842	139634
769	465449	139030
770	466066	138429
771	466704	137834
772	467297	137227
773	467889	136619
774	468575	136038
775	469215	135443
776	469811	134836
777	470413	134231
778	470999	133621
779	471580	133009
780	472179	132403
781	472835	131813
782	473420	131203
783	474017	130596
784	474601	129986
785	475185	129376
786	475759	128763
787	476356	128156
788	477139	127600
789	477744	126995
790	478353	126391
791	478950	125785
792	479517	125170
793	480111	124562
794	480676	123947
795	481253	123336
796	481836	122726
797	482415	122115
798	483016	121509
799	483591	120897
800	484172	120287
801	484750	119676
802	485335	119067
803	485928	118460
804	486500	117847
805	487096	117241
806	487671	116630
807	488264	116023
808	488847	115413
809	489450	114809
810	490044	114202
811	490633	113594
812	491223	112987
813	491943	112409
814	492524	111799
815	493087	111186
816	493622	110566
817	494167	109949
818	494722	109334
819	495286	108721
820	495805	108098
821	496340	107479
822	496859	106857
823	497387	106238
824	497898	105614
825	498453	105001
826	498978	104381
827	499497	103760
828	500029	103142
829	500554	102523
830	501076	101903
831	501607	101286
832	502123	100665
833	502782	100074
834	503544	99502
835	504197	98909
836	504811	98308
837	505457	97713
838	506089	97116
839	506676	96509
840	507274	95905
841	507849	95297
842	508462	94695
843	509066	94092
844	509646	93485
845	510290	92889
846	510860	92280
847	511463	91677
848	512060	91073
849	512642	90466
850	513259	89865
851	513842	89258
852	514440	88654
853	515038	88051
854	515633	87446
855	516234	86843
856	516823	86237
857	517400	85630
858	517968	85021
859	518565	84417
860	519156	83812
861	519742	83207
862	520338	82602
863	520916	81996
864	521507	81391
865	522076	80783
866	522656	80176
867	523238	79570
868	523810	78963
869	524405	78359
870	525007	77756
871	525596	77151
872	526198	76548
873	526789	75944
874	527409	75344
875	527996	74739
876	528569	74132
877	529202	73533
878	529778	72927
879	530378	72324
880	530979	71721
881	531563	71116
882	532165	70513
883	532754	69909
884	533349	69305
885	533951	68702
886	534548	68099
887	535152	67496
888	535735	66891
889	536333	66288
890	537084	65703
891	537715	65104
892	538303	64500
893	538893	63895
894	539478	63290
895	540083	62688
896	540684	62085
897	541278	61481
898	541873	60877
899	542481	60275
900	543047	59668
901	543642	59065
902	544259	58464
903	544839	57859
904	545425	57254
905	546020	56651
906	546621	56048
907	547224	55445
908	547849	54845
909	548453	54242
910	549041	53638
911	549653	53036
912	550242	52432
913	550836	51829
914	551425	51225
915	552015	50621
916	552606	50017
917	553203	49414
918	553790	48810
919	554373	48206
920	554969	47603
921	555559	46999
922	556154	46396
923	556764	45794
924	557361	45191
925	557952	44587
926	558569	43986
927	559179	43384
928	559767	42780
929	560373	42178
930	560957	41574
931	561559	40972
932	562132	40367
933	562754	39766
934	563365	39164
935	563983	38562
936	564594	37960
937	565177	37357
938	565776	36754
939	566412	36153
940	567005	35550
941	567615	34948
942	568218	34346
943	568814	33743
944	569420	33140
945	570018	32538
946	570630	31936
947	571226	31333
948	571809	30729
949	572413	30127
950	573001	29523
951	573598	28920
952	574188	28317
953	574791	27715
954	575379	27112
955	575971	26509
956	576562	25906
957	577151	25303
958	577750	24700
959	578340	24097
960	578925	23494
961	579536	22892
962	580123	22289
963	580711	21686
964	581316	21084
965	581915	20481
966	582524	19879
967	583095	19275
968	583698	18673
969	584302	18071
970	584901	17468
971	585558	16867
972	586139	16264
973	586740	15662
974	587327	15059
975	587934	14457
976	588541	13855
977	589145	13252
978	589748	12650
979	590358	12048
980	590945	11445
981	591545	10842
982	592135	10240
983	592751	9638
984	593342	9035
985	593931	8433
986	594539	7830
987	595118	7228
988	595716	6625
989	596302	6023
990	597068	5422
991	597707	4820
992	598288	4217
993	598893	3615
994	599477	3012
995	600060	2409
996	600655	1807
997	601233	1204
998	601820	602
999	602450	0
